TUTOR_ID,COURSE_ID,CLASS_ID,SECTION,DAY,START,END_ACTUAL,END_SCHEDULED_BLOCK,SLOTS_NEEDED,ROOM_ID,CAMPUS_ID,MERGED_GROUP_ID
T001,IT7003,21263,013,Sunday,08:00,09:50,10:00,1,25.115,B,
T001,IT7003,21269,014,Sunday,14:00,15:50,16:00,1,20.259,B,
T001,IT7003,21269,014,Monday,14:00,15:50,16:00,1,5.03,B,
T001,IT7003,21271,015,Monday,18:00,19:50,20:00,1,25.125,B,
T001,IT7003,21269,014,Tuesday,16:00,17:50,18:00,1,19.301,A,MERGE157
T001,IT7003,21271,015,Wednesday,08:00,09:50,10:00,1,5.03,B,
T001,IT7003,21263,013,Wednesday,10:00,11:50,12:00,1,36A.108,B,
T001,IT7003,21271,015,Thursday,16:00,17:50,18:00,1,19.108,A,MERGE157
T002,IT7008,21205,001,Sunday,10:00,11:50,12:00,1,5.02,B,
T002,IT7008,21205,001,Monday,10:00,11:50,12:00,1,25.111,B,
T002,IT7008,21210,002,Monday,14:00,15:50,16:00,1,25.118,B,
T002,IT7008,21205,001,Tuesday,08:00,09:50,10:00,1,24.006C,B,
T002,IT7008,21210,002,Wednesday,10:00,11:50,12:00,1,20.175,B,
T002,IT7008,21210,002,Thursday,08:00,09:50,10:00,1,19.302,B,
T004,IT8212,21010,001,Sunday,12:00,13:50,14:00,1,25.118,B,
T004,IT8212,21086,002,Monday,12:00,13:50,14:00,1,36A.109,B,
T004,IT8212,21086,002,Tuesday,08:00,09:50,10:00,1,10.22,B,
T004,IT8212,21010,001,Wednesday,10:00,11:50,12:00,1,25.329,B,
T005,IT8515,21190,014,Tuesday,08:00,09:50,10:00,1,25.329,B,
T005,IT8515,21188,012,Tuesday,10:00,11:50,12:00,1,20.250,B,
T005,IT8515,21191,015,Tuesday,14:00,15:50,16:00,1,25.323,B,
T005,IT8515,21189,013,Wednesday,08:00,09:50,10:00,1,36.102 PDC,B,
T005,IT8515,21188,012,Wednesday,10:00,11:50,12:00,1,20.263,B,
